Name,Office,Compensation,State Born,Where employed city,Government Agency
James Madison,President of the U.S,25000,VA,,President
vacant,Vice President,5000,VA,,President
James Monroe,Secretery,5000,VA,Washington,Department of State
John Graham,Chief Clerk,2000,VA,Washington,Department of State
Stephen Pleasonton,Clerk,1500,DE,Washington,Department of State
Daniel Brent,Clerk,1350,VA,Washington,Department of State
Richard Forrest,Clerk,1150,MD,Washington,Department of State
John B. Colvin,Clerk,1150,MD,Washington,Department of State
Josiah W. King,Clerk,1150,MD,Washington,Department of State
J.H. Purviance,Clerk,1150,PA,Washington,Department of State
John P. Maul,Messenger,410,Germany,Washington,Department of State
Joseph Warren,Assistant Messenger,264,MD,Washington,Department of State
William Thorton,Patent Office,1400,Tortola,Washington,Department of State
William Elliot,Clerk of the Patent Office,500,England,Washington,Department of State
Benjmin Fenwick,Messenger,72,MD,Washington,Department of State
Alexander J. Dallas,Secretery,5000,Jamaica,,Treasury Department Secretary's Office
Edward Jones,Chief Clerk,2000,NY,Washington,Treasury Department Secretary's Office
James N. Taylor,Clerk,1650,Ireland,Washington,Treasury Department Secretary's Office
James L. Anthony,Clerk,1500,NY,Washington,Treasury Department Secretary's Office
Samuel McKean,Clerk,1500,PA,Washington,Treasury Department Secretary's Office
Edward Fox jun.,Clerk,1400,PA,Washington,Treasury Department Secretary's Office
Thomas Dungan,Clerk,1300,PA,Washington,Treasury Department Secretary's Office
William Gibson,Clerk,950,MD,Washington,Treasury Department Secretary's Office
John Connell ,Messenger,410,MD,Washington,Treasury Department Secretary's Office
Wm. Eisenbeck,Assistant Messenger,300,Germany,Washington,Treasury Department Secretary's Office
Joseph Anderson,Comptroller,3500,PA,Washington,Comptroller's Office
William G.D. Worthington,Clerk,1500,MD,Washington,Comptroller's Office
John Laub,Clerk,1500,PA,Washington,Comptroller's Office
Andrew Ross,Clerk,1300,Ireland,Washington,Comptroller's Office
Samuel Hanson,Clerk,1300,MD,Washington,Comptroller's Office
Charles P. Polk,Clerk,1100,MD,Washington,Comptroller's Office
John Woodside,Clerk,1088,PA,Washington,Comptroller's Office
Lund Washington,Clerk,1088,VA,Washington,Comptroller's Office
Richard H. Briscoe,Clerk,1000,MD,Washington,Comptroller's Office
William Williamson,Clerk,1000,PA,Washington,Comptroller's Office
James Larned,Clerk,900,MA,Washington,Comptroller's Office
Benjamin Harrison,Clerk,850,MD,Washington,Comptroller's Office
John Knapp,Clerk,850,Ireland,Washington,Comptroller's Office
Pontius D. Stelle,Clerk,850,NJ,Washington,Comptroller's Office
David P. Polk,Clerk,800,MD,Washington,Comptroller's Office
John N. Lovejoy,Messenger,410,MD,Washington,Comptroller's Office
John N. Lovejoy,Assistant Clerk,450,MD,Washington,Comptroller's Office
Richard Harrison,Auditor,3000,MD,Washington,Auditor's Office
Patrick Ferrall,Principal Clerk,1600,Ireland,Washington,Auditor's Office
William Parker,Clerk,1300,England,Washington,Auditor's Office
William Morton,Clerk,1175,MD,Washington,Auditor's Office
Ezekiel King,Clerk,1150,England,Washington,Auditor's Office
John Coyle,Clerk,1150,PA,Washington,Auditor's Office
James Watson,Clerk,1150,MD,Washington,Auditor's Office
William Felch,Clerk,1150,CT,Washington,Auditor's Office
David Easton,Clerk,1100,Scotland,Washington,Auditor's Office
Thomas G. Slye,Clerk,1100,MD,Washington,Auditor's Office
Jeremiah Williams,Clerk,1100,MD,Washington,Auditor's Office
John Coyle jun.,Clerk,1000,PA,Washington,Auditor's Office
John Underwood,Clerk,850,PA,Washington,Auditor's Office
James D. King,Clerk,800,MD,Washington,Auditor's Office
James Goddard,Clerk,850,MD,Washington,Auditor's Office
Thomas Barclay,Clerk,800,Ireland,Washington,Auditor's Office
Charles B. Davis,Messenger,410,MD,Washington,Auditor's Office
Joseph Nourse,Register,3000,England,Washington,Register's Office
Joshua Dawson,Clerk,1766.66,Ireland,Washington,Register's Office
Joseph Stretch,Clerk,1516.66,PA,Washington,Register's Office
Michael Nourse,Clerk,1450,VA,Washington,Register's Office
James McClary,Clerk,1450,Ireland,Washington,Register's Office
James Laurie,Clerk,1400,Scotland,Washington,Register's Office
William Mackey,Clerk,1075,DE,Washington,Register's Office
John S. Haw,Clerk,1075,MD,Washington,Register's Office
Charles Dawson,Clerk,1000,PA,Washington,Register's Office
John D. Barclay,Clerk,1066.66,DC,Washington,Register's Office
John C. Steiner,Clerk,928,PA,Washington,Register's Office
Henry M Steiner,Clerk,900,PA,Washington,Register's Office
W.D. Randolph,Clerk,1000,VA,Washington,Register's Office
Francis Lowndes,Clerk,750,England,Washington,Register's Office
John Stretch,Clerk,750,PA,Washington,Register's Office
Joseph R. Nourse,Clerk,675,KY,Washington,Register's Office
Thos. L. Thruston,Clerk,625,KY,Washington,Register's Office
Lewis Salomon,Clerk,1000,Switzerland,Washington,Register's Office
William James,Clerk,500,DC,Washington,Register's Office
John R. Nourse,Clerk,112,DC,Washington,Register's Office
Alex. McDonald,Messenger,500,Scotland,Washington,Register's Office
Joseph Wilson,Watchman,300,Ireland,Washington,Register's Office
John Poor,Watchman,300,PA,Washington,Register's Office
Peter Knight ,Laborer,300,MD,Washington,Register's Office
Thomas Tudor Tucker,Treasurer,3000,Bermuda,Washington,Treasurerês Office
